Area,Year,January,February,March,April,May,June,July,August,September,October,November,December
Barisal,1953,10.0,3.0,3.0,46.0,339.0,715.0,526.0,166.0,174.0,45.0,0.0,0.0
Barisal,1954,0.0,3.0,56.0,14.0,70.0,500.0,260.0,360.0,144.0,169.0,1.0,6.0
Barisal,1956,17.0,0.0,20.0,92.0,343.0,784.0,319.0,497.0,700.0,184.0,46.0,0.0
Barisal,1957,104.0,13.0,0.0,1.0,22.0,244.0,564.0,286.0,216.0,52.0,0.0,0.0
Barisal,1958,0.0,12.0,46.222,129.0,289.0,171.0,414.0,268.0,321.0,208.0,0.0,0.0
Barisal,1959,24.0,5.0,59.0,59.0,258.0,377.0,751.0,621.0,608.0,475.0,0.0,0.0
Barisal,1960,0.0,0.0,36.0,13.0,324.0,433.0,716.0,823.0,650.0,316.0,79.0,0.0
Barisal,1961,8.0,43.0,51.0,44.0,303.0,553.0,244.0,529.0,206.0,108.0,0.0,0.0
Barisal,1962,0.0,44.0,0.0,1.0,134.0,325.0,421.0,229.0,333.0,154.0,262.0,0.0
Barisal,1963,0.0,0.0,260.0,54.0,252.0,232.0,367.0,234.0,274.0,385.0,0.0,0.0
Barisal,1964,0.0,0.0,0.0,0.0,47.0,225.0,318.0,254.0,141.0,214.0,78.0,0.0
Barisal,1965,0.0,44.0,34.0,53.0,76.0,370.0,185.0,346.0,179.0,171.0,1.0,16.0
Barisal,1966,19.0,0.0,0.0,1.0,175.0,416.0,328.0,434.0,311.0,317.0,26.0,53.0
Barisal,1967,42.0,0.0,92.0,105.0,71.0,159.0,292.0,228.0,547.0,342.0,0.0,0.0
Barisal,1968,0.0,14.0,86.0,64.0,246.0,847.0,422.0,331.0,159.0,231.0,12.0,0.0
Barisal,1969,0.0,0.0,107.0,82.0,55.0,347.0,487.0,546.0,366.0,45.0,22.0,0.0
Barisal,1970,0.0,24.0,5.0,91.0,124.0,408.0,530.0,317.0,571.0,253.0,90.0,0.0
Barisal,1971,7.0,1.0,0.0,104.0,267.0,503.0,250.0,233.0,394.0,152.0,114.0,0.0
Barisal,1972,0.0,58.0,0.0,121.0,130.0,262.0,248.0,458.0,90.0,29.0,0.0,0.0
Barisal,1973,0.0,12.0,81.0,42.0,508.0,502.0,392.0,266.0,398.0,308.0,171.0,197.0
Barisal,1974,2.0,0.0,149.0,187.0,265.0,289.0,684.0,238.0,361.0,153.0,18.0,0.0
